
sample ID, execution time, extra probe , dut probe
1 ,518 ,0.20966,1.04832
2 ,1022 ,0.22168,1.10842
3 ,1526 ,0.21674,1.08369
4 ,2030 ,0.23014,1.15068
5 ,2535 ,0.26369,1.31846
6 ,3038 ,0.24034,1.20170
7 ,3542 ,0.20084,1.00419
8 ,4046 ,0.21004,1.05020
9 ,4550 ,0.30933,1.54666
10 ,5054 ,0.54085,2.70423
11 ,5559 ,0.37790,1.88948
12 ,6064 ,0.41781,2.08903
13 ,6568 ,0.33475,1.67375
14 ,7072 ,0.38145,1.90726
15 ,7576 ,0.39022,1.95109
16 ,8080 ,0.33243,1.66216
17 ,8584 ,0.32187,1.60936
18 ,9088 ,0.31941,1.59706
19 ,9595 ,0.41326,2.06628
20 ,10099 ,0.56695,2.83476
21 ,10603 ,0.52131,2.60657
22 ,11107 ,0.26173,1.30863
23 ,11613 ,0.31881,1.59406
24 ,12117 ,0.38170,1.90852
25 ,12621 ,0.23715,1.18574
26 ,13125 ,0.22056,1.10279
27 ,13630 ,0.28780,1.43898
28 ,14134 ,0.67963,3.39814
29 ,14639 ,0.61099,3.05494
30 ,15143 ,0.60520,3.02602
31 ,15647 ,0.57997,2.89987
32 ,16151 ,0.57653,2.88265
33 ,16656 ,0.59818,2.99092
34 ,17160 ,0.52586,2.62929
35 ,17664 ,0.65585,3.27926
36 ,18168 ,0.56038,2.80189
37 ,18675 ,0.54930,2.74649
38 ,19179 ,0.61046,3.05232
39 ,19683 ,0.51199,2.55996
40 ,20188 ,0.58707,2.93533
41 ,20692 ,0.54398,2.71988
42 ,21196 ,0.51386,2.56932
43 ,21702 ,0.59643,2.98217
44 ,22206 ,0.49809,2.49043
45 ,22710 ,0.43823,2.19115
46 ,23215 ,0.46690,2.33449
47 ,23719 ,0.38909,1.94545
48 ,24224 ,0.38333,1.91665
49 ,24728 ,0.36461,1.82306
50 ,25232 ,0.30664,1.53320
51 ,25736 ,0.32312,1.61561
52 ,26241 ,0.31584,1.57921
53 ,26745 ,0.31384,1.56920
