
sample ID, execution time, extra probe , dut probe
1 ,518 ,0.20772,1.03862
2 ,1022 ,0.23264,1.16320
3 ,1526 ,0.21276,1.06380
4 ,2032 ,0.21663,1.08316
5 ,2536 ,0.25950,1.29749
6 ,3040 ,0.22369,1.11844
7 ,3544 ,0.19927,0.99636
8 ,4049 ,0.20641,1.03205
9 ,4552 ,0.20848,1.04238
10 ,5056 ,0.33293,1.66467
11 ,5560 ,0.47868,2.39339
12 ,6064 ,0.38778,1.93888
13 ,6569 ,0.34915,1.74574
14 ,7073 ,0.33168,1.65839
15 ,7578 ,0.35816,1.79080
16 ,8082 ,0.29036,1.45181
17 ,8587 ,0.22112,1.10561
18 ,9091 ,0.29024,1.45119
19 ,9597 ,0.50472,2.52361
20 ,10101 ,0.41056,2.05281
21 ,10606 ,0.30533,1.52663
22 ,11110 ,0.49583,2.47916
23 ,11614 ,0.30570,1.52850
24 ,12118 ,0.42659,2.13296
25 ,12624 ,0.31806,1.59031
26 ,13128 ,0.23156,1.15780
27 ,13633 ,0.20509,1.02547
28 ,14137 ,0.22325,1.11625
29 ,14641 ,0.20822,1.04112
30 ,15146 ,0.19733,0.98666
31 ,15650 ,0.23025,1.15124
32 ,16156 ,0.24799,1.23993
33 ,16660 ,0.28704,1.43522
34 ,17164 ,0.27615,1.38075
35 ,17668 ,0.34114,1.70568
36 ,18173 ,0.20766,1.03831

sample ID, execution time, extra probe , dut probe
1 ,505 ,0.25856,1.29280
2 ,1008 ,0.22932,1.14661
3 ,1512 ,0.20441,1.02203
4 ,2016 ,0.22469,1.12345
5 ,2520 ,0.26970,1.34851
6 ,3025 ,0.23114,1.15569
7 ,3528 ,0.19570,0.97852
8 ,4033 ,0.22887,1.14437
9 ,4537 ,0.20534,1.02672
10 ,5041 ,0.45733,2.28665
11 ,5545 ,0.44299,2.21497
12 ,6050 ,0.49746,2.48730
13 ,6554 ,0.35204,1.76020
14 ,7058 ,0.33926,1.69628
15 ,7562 ,0.35741,1.78706
16 ,8066 ,0.27502,1.37512
17 ,8570 ,0.22262,1.11312
18 ,9078 ,0.38127,1.90635
19 ,9582 ,0.47146,2.35729
20 ,10086 ,0.31647,1.58234
21 ,10591 ,0.41852,2.09258
22 ,11096 ,0.43529,2.17647
23 ,11600 ,0.34602,1.73009
24 ,12105 ,0.40132,2.00659
25 ,12610 ,0.28421,1.42106
26 ,13115 ,0.21098,1.05490
27 ,13619 ,0.20923,1.04613
28 ,14123 ,0.22763,1.13816
29 ,14628 ,0.19990,0.99949
30 ,15132 ,0.21882,1.09409
31 ,15638 ,0.19365,0.96824
32 ,16142 ,0.20716,1.03580
33 ,16646 ,0.25787,1.28935
34 ,17151 ,0.28567,1.42833
35 ,17655 ,0.22913,1.14567
36 ,18159 ,0.32350,1.61748
37 ,18667 ,0.20701,1.03507

sample ID, execution time, extra probe , dut probe
1 ,505 ,0.21693,1.08463
2 ,1009 ,0.21755,1.08776
3 ,1513 ,0.24328,1.21642
4 ,2017 ,0.21073,1.05364
5 ,2522 ,0.28315,1.41575
6 ,3026 ,0.24748,1.23739
7 ,3530 ,0.19971,0.99855
8 ,4034 ,0.20253,1.01264
9 ,4540 ,0.19796,0.98979
10 ,5044 ,0.49007,2.45035
11 ,5548 ,0.46503,2.32516
12 ,6052 ,0.47905,2.39527
13 ,6556 ,0.32436,1.62178
14 ,7060 ,0.32292,1.61459
15 ,7564 ,0.35010,1.75052
16 ,8070 ,0.24786,1.23931
17 ,8577 ,0.21486,1.07430
18 ,9080 ,0.42928,2.14642
19 ,9585 ,0.44212,2.21059
20 ,10089 ,0.27778,1.38889
21 ,10593 ,0.42230,2.11152
22 ,11098 ,0.42949,2.14743
23 ,11603 ,0.34182,1.70912
24 ,12107 ,0.39767,1.98834
25 ,12611 ,0.24792,1.23958
26 ,13116 ,0.20234,1.01170
27 ,13620 ,0.21732,1.08660
28 ,14124 ,0.22481,1.12407
29 ,14629 ,0.19533,0.97664
30 ,15133 ,0.20121,1.00606
31 ,15637 ,0.31628,1.58140
32 ,16141 ,0.26808,1.34038
33 ,16646 ,0.28896,1.44479
34 ,17151 ,0.24860,1.24302
35 ,17657 ,0.19007,0.95035
36 ,18162 ,0.20278,1.01389

sample ID, execution time, extra probe , dut probe
1 ,505 ,0.21643,1.08213
2 ,1010 ,0.23674,1.18372
3 ,1515 ,0.21570,1.07848
4 ,2019 ,0.21192,1.05959
5 ,2523 ,0.24998,1.24991
6 ,3028 ,0.23846,1.19231
7 ,3532 ,0.19439,0.97194
8 ,4036 ,0.23493,1.17466
9 ,4540 ,0.19652,0.98259
10 ,5045 ,0.24635,1.23176
11 ,5550 ,0.49938,2.49688
12 ,6054 ,0.46528,2.32641
13 ,6558 ,0.37040,1.85201
14 ,7063 ,0.32381,1.61904
15 ,7567 ,0.35585,1.77924
16 ,8071 ,0.33143,1.65716
17 ,8578 ,0.22920,1.14599
18 ,9082 ,0.23896,1.19482
19 ,9587 ,0.46490,2.32450
20 ,10092 ,0.40994,2.04969
21 ,10596 ,0.27546,1.37731
22 ,11100 ,0.50022,2.50108
23 ,11604 ,0.37388,1.86939
24 ,12109 ,0.38383,1.91916
25 ,12613 ,0.36416,1.82078
26 ,13117 ,0.23452,1.17259
27 ,13622 ,0.20278,1.01389
28 ,14126 ,0.23026,1.15131
29 ,14631 ,0.21123,1.05615
30 ,15135 ,0.20283,1.01415
31 ,15641 ,0.20976,1.04881
32 ,16145 ,0.22682,1.13409
33 ,16649 ,0.30714,1.53570
34 ,17153 ,0.24691,1.23457
35 ,17660 ,0.30526,1.52631
36 ,18166 ,0.22488,1.12438
37 ,18670 ,0.19471,0.97355

sample ID, execution time, extra probe , dut probe
1 ,505 ,0.23089,1.15444
2 ,1009 ,0.26113,1.30563
3 ,1513 ,0.22182,1.10908
4 ,2017 ,0.26232,1.31158
5 ,2521 ,0.26444,1.32222
6 ,3026 ,0.21580,1.07900
7 ,3530 ,0.22563,1.12814
8 ,4034 ,0.22207,1.11033
9 ,4539 ,0.21039,1.05193
10 ,5043 ,0.52225,2.61126
11 ,5547 ,0.40956,2.04781
12 ,6051 ,0.40869,2.04343
13 ,6555 ,0.33644,1.68220
14 ,7060 ,0.35941,1.79705
15 ,7567 ,0.34586,1.72928
16 ,8072 ,0.23978,1.19889
17 ,8576 ,0.20653,1.03267
18 ,9080 ,0.44381,2.21904
19 ,9584 ,0.41826,2.09132
20 ,10088 ,0.28153,1.40763
21 ,10593 ,0.50710,2.53551
22 ,11098 ,0.37640,1.88199
23 ,11602 ,0.40311,2.01557
24 ,12106 ,0.41426,2.07129
25 ,12612 ,0.24592,1.22962
26 ,13116 ,0.25904,1.29520
27 ,13620 ,0.24604,1.23019
28 ,14125 ,0.27302,1.36510
29 ,14629 ,0.19445,0.97226
30 ,15133 ,0.19821,0.99104
31 ,15637 ,0.19645,0.98227
32 ,16142 ,0.32337,1.61686
