sample ID, time, HDD1, HDD2,  Graph1, Graph2, Proc1, Proc2, tempEET, tempPROC 
1 ,0,0,0,0,0,0,0 ,-- ,--
sample ID, time, HDD1, HDD2,  Graph1, Graph2, Proc1, Proc2, tempEET, tempPROC 
1 ,0,0,0,0,0,0,0 ,-- ,--
sample ID, time, HDD1, HDD2,  Graph1, Graph2, Proc1, Proc2, tempEET, tempPROC 
1 ,0,0,0,0,0,0,0 ,-- ,--
sample ID, time, HDD1, HDD2,  Graph1, Graph2, Proc1, Proc2, tempEET, tempPROC 
1 ,0,0,0,0,0,0,0 ,-- ,--
sample ID, time, HDD1, HDD2,  Graph1, Graph2, Proc1, Proc2, tempEET, tempPROC 
1 ,0,0,0,0,0,0,0 ,-- ,--
sample ID, time, HDD1, HDD2,  Graph1, Graph2, Proc1, Proc2, tempEET, tempPROC 
1 ,0,0,0,0,0,0,0 ,-- ,--
sample ID, time, HDD1, HDD2,  Graph1, Graph2, Proc1, Proc2, tempEET, tempPROC 
1 ,0,0,0,0,0,0,0 ,-- ,--
sample ID, time, HDD1, HDD2,  Graph1, Graph2, Proc1, Proc2, tempEET, tempPROC 
1 ,0,0,0,0,0,0,0 ,-- ,--
sample ID, time, HDD1, HDD2,  Graph1, Graph2, Proc1, Proc2, tempEET, tempPROC 
1 ,0,0,0,0,0,0,0 ,-- ,--
sample ID, time, HDD1, HDD2,  Graph1, Graph2, Proc1, Proc2, tempEET, tempPROC 
1 ,0,0,0,0,0,0,0 ,-- ,--
